timestamp,FN2O_C1_broadcast_middle_strip_by_gateway,FN2O_C3_broadcast_middle_with_inhibitor,FN2O_C4_broadcast_side_strip_with_inhibitor
2023-07-11 22:30:00,0.426894,7.75995,20.6831
2023-07-11 23:00:00,0.542265,9.02986,24.6696
2023-07-11 23:30:00,0.590455,9.44048,25.4164
2023-07-12 00:00:00,0.653762,10.2945,27.7625
2023-07-12 00:30:00,0.631288,12.1897,28.9613
2023-07-12 01:00:00,0.652307,12.5787,28.6873
2023-07-12 01:30:00,0.687485,12.3981,30.9687
2023-07-12 02:00:00,0.69081,13.2643,29.4155
2023-07-12 02:30:00,0.634548,13.0671,26.5923
2023-07-12 03:00:00,0.637706,12.6953,30.9349
2023-07-12 03:30:00,0.631217,12.7816,30.3843
2023-07-12 04:00:00,0.626985,14.2958,29.1882
2023-07-12 04:30:00,0.58493,13.3276,28.3605
2023-07-12 05:00:00,0.590979,13.7189,27.3373
2023-07-12 05:30:00,0.572582,13.9782,28.123
2023-07-12 06:00:00,0.568728,13.1758,27.9828
2023-07-12 06:30:00,0.587583,13.0489,28.9795
2023-07-12 07:00:00,0.562021,14.1888,28.3881
2023-07-12 07:30:00,0.630309,14.846,30.6552
2023-07-12 08:00:00,0.651044,25.1171,33.1779
2023-07-12 08:30:00,0.669766,26.8346,37.2253
2023-07-12 09:00:00,0.679901,31.6396,41.2008
2023-07-12 09:30:00,0.753773,38.588,47.6646
2023-07-12 10:00:00,0.917962,43.2581,51.7557
2023-07-12 10:30:00,0.886382,41.7777,58.6743
2023-07-12 11:00:00,0.999383,48.898,64.0395
2023-07-12 11:30:00,1.02607,48.3781,63.5564
2023-07-12 12:00:00,1.25223,57.8316,61.7136
2023-07-12 12:30:00,1.25844,63.6185,76.9326
2023-07-12 13:00:00,1.40449,65.8292,85.5914
2023-07-12 13:30:00,1.50962,67.4177,87.0159
2023-07-12 14:00:00,1.30616,61.8393,88.7462
2023-07-12 14:30:00,1.23574,61.5873,70.5845
2023-07-12 15:00:00,1.25841,58.9104,64.5176
2023-07-12 15:30:00,1.34043,61.9513,68.6244
2023-07-12 16:00:00,1.26157,63.5587,67.3466
2023-07-12 16:30:00,1.14722,56.8349,58.4601
2023-07-12 17:00:00,1.28417,58.4097,56.3871
2023-07-12 17:30:00,1.15756,56.7728,53.3901
2023-07-12 18:00:00,1.04033,55.7121,49.1751
2023-07-12 18:30:00,1.06936,53.5719,46.6128
2023-07-12 19:00:00,1.04063,51.3227,44.591
2023-07-12 19:30:00,1.06482,51.6036,44.5993
2023-07-12 20:00:00,0.971768,51.4335,45.3466
2023-07-12 20:30:00,0.964132,50.2435,45.1505
2023-07-12 21:00:00,0.786163,48.7336,40.9103
2023-07-12 21:30:00,0.703088,43.9937,37.9101
2023-07-12 22:00:00,0.698682,43.7955,38.0386
2023-07-12 22:30:00,0.713305,42.3069,35.2922
2023-07-12 23:00:00,0.652531,41.1879,36.3368
2023-07-12 23:30:00,0.636429,41.0324,35.565
2023-07-13 00:00:00,0.636123,41.3599,34.6142
2023-07-13 00:30:00,0.597643,40.2783,34.0341
2023-07-13 01:00:00,0.573227,39.399,32.1981
2023-07-13 01:30:00,0.659216,39.8965,34.5897
2023-07-13 02:00:00,0.584509,40.0504,34.0268
2023-07-13 02:30:00,0.603818,39.6142,33.6523
2023-07-13 03:00:00,0.615114,40.4909,33.9716
2023-07-13 03:30:00,0.578315,40.4844,32.9734
2023-07-13 04:00:00,0.54634,37.5899,32.8018
2023-07-13 04:30:00,0.581967,36.687,30.3062
2023-07-13 05:00:00,0.553623,35.073,29.1147
2023-07-13 05:30:00,0.530019,35.4555,29.2593
2023-07-13 06:00:00,0.53323,34.9851,29.2438
2023-07-13 06:30:00,0.522971,26.8763,22.5737
2023-07-13 07:00:00,0.5225,33.0976,29.6061
2023-07-13 07:30:00,0.514051,34.9087,31.2226
2023-07-13 08:00:00,0.502209,25.1808,23.0793
2023-07-13 08:30:00,0.47367,17.0027,19.6185
2023-07-13 09:00:00,0.480181,14.7707,21.0129
2023-07-13 09:30:00,0.416355,19.1832,26.4552
2023-07-13 10:00:00,0.468027,23.2299,34.8451
2023-07-13 10:30:00,0.74266,29.7439,32.8337
2023-07-13 11:00:00,1.07432,31.0493,36.5809
2023-07-13 11:30:00,0.992508,34.848,38.148
2023-07-13 12:00:00,0.768249,42.461,41.7806
2023-07-13 12:30:00,0.431756,12.3531,32.9222
2023-07-13 13:00:00,0.0617442,0.403525,3.1941
2023-07-13 13:30:00,0.0988853,2.38662,17.8493
2023-07-13 14:00:00,0.17277,4.63954,19.8084
2023-07-13 14:30:00,0.318004,5.40996,24.1509
2023-07-13 15:00:00,0.0485202,0.468533,2.5173
2023-07-13 15:30:00,0.236649,2.55985,16.636
2023-07-13 16:00:00,0.514012,4.35893,11.5633
2023-07-13 16:30:00,1.16825,5.86939,15.0268
2023-07-13 17:00:00,1.67787,8.58153,17.8062
2023-07-13 17:30:00,1.8865,10.7839,21.1322
2023-07-13 18:00:00,1.58944,9.76693,24.4045
2023-07-13 18:30:00,1.3471,7.73711,25.239
2023-07-13 19:00:00,1.17645,8.39884,23.7262
2023-07-13 19:30:00,1.37153,9.64375,27.713
2023-07-13 20:00:00,1.00202,8.54939,30.952
2023-07-13 20:30:00,0.886942,8.41199,28.612
2023-07-13 21:00:00,0.775807,8.49787,26.4961
2023-07-13 21:30:00,0.651243,10.802,27.6668
2023-07-13 22:00:00,0.601034,11.124,29.3507
2023-07-13 22:30:00,0.550778,10.5096,29.9778
2023-07-13 23:00:00,0.523524,10.2555,29.1997
2023-07-13 23:30:00,0.461653,9.43273,29.1806
2023-07-14 00:00:00,0.424077,10.2189,29.9463
2023-07-14 00:30:00,0.372913,10.175,31.1074
2023-07-14 01:00:00,0.398008,10.329,29.8818
2023-07-14 01:30:00,0.421551,10.6774,27.7349
2023-07-14 02:00:00,0.335116,10.7697,28.9619
2023-07-14 02:30:00,0.285184,9.82647,28.0526
2023-07-14 03:00:00,0.357552,10.7967,29.4084
2023-07-14 03:30:00,0.281435,10.7551,26.982
2023-07-14 04:00:00,0.242927,9.8739,26.8517
2023-07-14 04:30:00,0.291704,10.2441,26.3287
2023-07-14 05:00:00,0.262668,9.88312,24.5533
2023-07-14 05:30:00,0.263065,10.5973,25.3678
2023-07-14 06:00:00,0.227073,10.2752,25.4838
2023-07-14 06:30:00,0.213713,10.7324,26.4851
2023-07-14 07:00:00,0.236733,10.5162,27.4345
2023-07-14 07:30:00,0.295004,11.2146,27.083
2023-07-14 08:00:00,0.284474,13.3466,27.9789
2023-07-14 08:30:00,0.317009,13.96,31.6532
2023-07-14 09:00:00,0.308535,16.0358,32.2537
2023-07-14 09:30:00,0.321248,19.1233,39.1535
2023-07-14 10:00:00,0.36611,23.5839,44.8068
2023-07-14 10:30:00,0.345296,24.8878,48.9231
2023-07-14 11:00:00,0.357145,26.9555,54.5499
2023-07-14 11:30:00,0.369669,27.2788,59.5204
2023-07-14 12:00:00,0.39828,28.5932,59.5061
2023-07-14 12:30:00,0.478727,31.1736,62.8837
2023-07-14 13:00:00,0.417439,28.6859,56.876
2023-07-14 13:30:00,0.411478,25.186,48.7787
2023-07-14 14:00:00,0.380536,23.6039,43.2632
2023-07-14 14:30:00,0.448327,24.17,42.3824
2023-07-14 15:00:00,0.45025,23.7899,41.9447
